평점,리뷰
4.5,입력되지 않고 쌓아올린 프로그래밍이 우리에게 있어 가장 만족스러웠다.
4.5,황홀한 비주얼과 감동적인 스토리텔링이 결합된 드림웍스의 새로운 걸작 애니메이션!
3.5,"퓌그말리온(브라이트빌)을 위해 심장을 가지게 된 갈라테이아(로즈)
3.55/5점"
4.0,가장 가까운 답은 머리가 아닌 마음에
4.0,"(76) 공존을 위한 연대와 희생.
👍: 기후위기시대에 생존을 위한 공존 드라마,
👎: 저연령층이 보기에 어려울 수도,
스토리 16/20 연기 15/20 연출 15/20 재미 30/40"
2.5,"""엄마도 처음부터 엄마로 프로그래밍 되지 않아요"""
3.5,가족끼리 보면 자식은 무서워서 울고 어른은 감동해서 울거같다.
4.0,누가 드림웍스 한물 갔다 그랬어?
4.0,야야 드림웍스 이거지!!
3.5,’친절함‘이라는 무기 혹은 방패를 가지고 만든 상냥함의 기적
5.0,"아직 찬란한 영광 속에 자리하고 있는 드림웍스의 필살기.

2024년 최고의 애니메이션."
4.0,"'와일드 로봇'은 야생만이 있는 섬에 표류하게 된 로봇이 그곳에서 홀로가 된 동물들과 친구가 되어 살아가는 애니메이션 영화다. 아름다운 작화 스타일에 재미와 감동이 풍부한 이야기로 영화는 함께 살아가는 것에 대해 말한다.

최첨단 인공지능이 탑재된 로봇은 한 외딴 섬에 불시착하게 된다. 도우미가 되도록 프로그래밍 돼있는 로봇이지만 그곳에 있는 수많은 동물들에게 경계의 대상이 된 그녀는 한 아기 기러기가 겨울이 되기 전에 다른 기러기들과 이주할 수 있도록 임무를 새로 부여받게 된다. 그렇게 로봇은 자신과 전혀 어울리지 않는 야생에서 살아가게 되고, 그곳의 동물들과도 조금씩 인연을 맺기 시작한다. 인간 문명의 가장 차갑고 딱딱한 존재처럼 느껴질 수도 있는 로봇이라는 존재가 따뜻한 마음을 가지게 되며, 자신의 존재 이상이 되는 이 이야기는 여러 지점에서 큰 재미를 주기도 하지만, 무엇보다 큰 감동을 선사한다. 거의 붓길이 느껴지는 듯한 개성있는 애니메이션 스타일도 매력적이며, 크리스 바워스의 웅장한 스코어는 감동적인 순간들을 더욱 강조해준다. 따스한 가족 영화이자 모험 영화이면서도, 그 속에는 자연과 함께 살고 동화가 되며 어우러지는 것에 대한 메시지도 담겨있으며, 이를 너무나도 멋지고 아름답게 실천하는 로봇과 대비되는 인간 세계에 대한 비판적인 시선도 내재돼있다."
4.5,브라이트빌이 성장하고 로즈의 마음도 성장한다
3.0,놀랍도록 뻔하지만 그만큼 명쾌하다.
5.0,"작품에 별점을 매긴다는 행위에 그렇게 큰 의미를 부여해 본 적은 없지만.. 3달 전인가? 이미 그쯤부터 나는 내가 이 작품에 5점을 매길 것을 알고 있었다.

원작 책을 읽어본 것도 아니고, 작품이 무슨 내용인지조차 몰랐지만 작품의 포스터를 보게 되는 순간에 느낌이 왔다. + 그리고 요즘 폼 좋은 드림웍스가 만들었다는 점.

실상 작품을 관람해 보니까 ""잘 만들었다"" 수준이 아니라 ""심각하게 잘 만들었다"" 레벨이었다. 올해 유독 잘 만든 애니메이션 작품들을 자주 본 것도 맞지만 작품 중반부부터 이미 '4DX로 다시 볼 것인지, 돌비 시네마로 다시 볼 것인지?' 고민했을 정도로..

포스터만 봐도, 시놉시스만 봐도 여러 개의 작품이 떠오를 만큼 클리셰가 가득한 설정, 작품들이 연관되지만 그 뻔한 얘기들도 이번에도 역시 감독이 감독인지라 연출의 레벨이 남달랐다.

사실 너무 큰 기대치를 안고 관람한 영화인 것도 맞지만 오프닝 도입부부터 모든 것들에, 모든 장면들 하나하나에 몰입하면서 봤다. 초반부는 평범해 보이는, 흔한 로봇 이야기처럼 보이지만 작품의 본격적인 스토리가 시작되면 이 작품만의 매력을 보여준다.

아이를 낳아본 적은 없지만, 키워본 적도 없지만 육아를 간접적으로 경험해 본다는 느낌의 초중반부. 단순히 '귀엽다, 웃기다' 이런 감정들이 교차하는 연출이 아니라 비록 동물들이 나오는 작품이지만 애기를 하나 키우고 있다는 느낌이 체험될만치 아련하고, 슬프고, 기쁘다 같은 감정들이 여럿 교차했다. 부모와 아이를 위해 만든 단순한 상업영화 같은 느낌이 아니라 '또' 무언가 가슴에서 벅차올라서 <인사이드 아웃 2> 그리고 얼마 전 <트랜스포머 ONE> 관람하면서도 눈물까진 흘리진 않았는데 중반부부터 어떤 장면에서 감격의 눈물이 흐를 정도로..

그 <인사이드 아웃 2편>을 1회차 때 돌비 시네마로 보고, 2회차는 그냥 일반관에서 관람했는데 '이게 내가 얼마 전에 봤던 그 작품이 맞나?' 생각이 들 정도로 영화의 색감이 너무 차이 나서 2회차는 사실 아무런 감흥이 안 느껴진 경험이 있기에, 굳이 빨리 보려면 다른 일반관에서 더 빨리 볼 수 있었던 작품인데도 불구하고 저녁까지 기다려서 여기까지 찾아왔는데 역시 돌비는 작품의 색감도 색감이지만 사운드에서 격이 다르긴 했다.

(중반부에 삽입되는 OST를 상영관 나오자마자 검색해 봤는데 역시 작품 관람하면서 느꼈던 그 울림은 다시 찾아오지 않았다) 아무튼 중반부에 OST와 함께 되는 [그 장면]의 웅장함과 감동, 전율만 감상해도 영화관에서 더 바랄 게 없었는데 그게 고작 중반부였고..

중후반부에도 당연히 작품의 메시지와 작품성, 완성도 모든 것들 완벽했다. 이상하게 호소다 마모루의 디지몬 극장판 2기 <우리들의 워 게임!>이 연상되는 장면이 있었는데 (이상한 게 아니라 그냥 오마주 아닌가 싶을 정도로) 큰 상관은 없고, 모든 장면들이 감성적인 부분들만을 터치하는 장면과 연출들이 준비되어 있지만 나는 정말 궁금하기도 했다. <빅토리> 에도 적어놓은 문장인데 어떻게 같은 사람인데 이 작품을 보고 안 좋은 평가, 부정적인 평가를 내릴 수가 있는지? 일반관에서 본 관객인가? 집에서 휴대폰 화면으로 본 건가?

[우공이산]을 비롯한 동물들의 인류애(?)도 좋았고, 작위적이고 영화적인 전개로 허술하게 넘기는 그런 흔한 연출이 아니라 감동과 적절한 긴장감이 자리 잡고 있는 클라이막스의 연출.. 정말 감히 말하건대 픽사의 <월-E>와 어깨를 나란히 할 만큼의 명작 중의 명작을 만들어놨다. 간만에 작품 보면서 '제발 끝나지 마라.' 되뇌일 정도로..

특전으로 포스터를 받을 수 있는 건 아니지만 4DX로 봐도 재밌을 만한 장면들이 많아서 4DX로도 다시 보고 싶고... 그 음향과 색감의 벅찬 감동을 다시 한번 느끼고 싶기에 돌비로 다시 보고 싶기도 하고.. 어렵다.

나를 행복하게 만드는 것들이 세 가지가 있다.

1. 새로운 아크로님 자켓
2. 미세먼지 없는 봄/가을 하늘
3. 그리고 이런 수준의 작품.

크레딧 올라가고 쿠키 영상 하나.

상영관 나와서 로튼토마토를 검색했는데
로튼토마토 지수가 저 정도인 건 처음 봤다.

대구 신세계 메가박스
돌비 시네마 관람.

------------------------------------
25/10/2
2회차

4DX 효과도 다른 영화들이었다면 그럭저럭 만족하고 나왔을 건데..  어제저녁에 봤었던 돌비의 색감과 음향의 웅장함을 꺾을 순 없었다.

그래도 추격전,활강씬,그리고 오메가몬 등장을 비롯한 여러 장면들과 부수적인 효과들 덕분에 심심하진 않았을 정도?

할 수 없이 주말에 돌비 시네마로
한 번 더 보기로 마음먹었다.

올해 Top3
<추락의 해부> <듄: 파트 2>
그리고 <와일드 로봇>

대구 CGV
ULTRA 4DX 관람
------------------------------------
25/10/5
3회차

늘 그렇듯이 똑같은 작품을 세 번 이상 보면 더 이상 적을 문장이 거의 없다.

역시 돌비에서 보는 작품은 일반관이랑은 격이 다르다는 것을 상기했던 시간.

탄지로가 얘기했었나? ""남을 위해서 하는 일은 결국 돌고 돌아서 나 자신을 위한 일이 되기도 하니까""

올해 영화를 250편 정도 봤던가? 남은 올해도, 내년에도 나는 영화를 많이 볼 테고..  이 작품보다 [재밌는, 잘 만든 작품]은 종종 볼 수 있겠지만..

2500편을 더 봐도 이 작품보다 더 [좋은 작품]을 볼 수 있을지는 모르겠다.

가엾다.
내가 3번이나 겪은 감정을 아직도 경험하지 못했을 관객들이..

대구 신세계 메가박스
돌비 시네마 또 관람."
4.0,드림웍스가 간만에 회사 이름에 걸맞은 작품을 내놓았다. 대 AI 시대에 만나는 <마당을 나온 암탉>. 기계와 자연의 공존에서 묻는 인간성의 재발견.
3.0,인간의 손이 닿지 않는 곳에서 동물 칭구칭구들과 영원히 행복해줘 로즈
5.0,"공생, 혹은 공멸. 어느 편의 ‘Wild'를 선택해야 할지, 영민한 작화와 안온한 이야기로 설득해내다.
(장면 하나하나가, 기억 속에 참 오래 남을 듯하다.)"
3.5,"제길, 또 로봇한테 당하다니!
이 놈들 로봇 아닐지도 몰라.
(특별언급: <로봇 드림>)"
4.0,"이성에서 감성을 찾아가는, 다르지만 같은 와일드 러브"
4.0,"당해낼 재간이 없는 캐릭터, 서사, 비주얼,

두손 두발 다들고 홀렸다"
3.0,"제97회 아카데미 시상식 장편애니메이션상은 <인사이드 아웃2>가 아니라 무조건 이거.  (241001)

장점 : 본능이 있다면 감격할 것.
단점 : 아무 생각 없이 좋아하기엔 내가 나이를 너무 먹었다."
3.5,이런 이야기는 진부하다고 너스레떨며 관객을 가르치려 드는 디즈니보다는 익숙해도 잘만들면 관객이 공감한다는걸 증명해내는 드림웍스😳👌
2.5,마당을 나온 암탉의 압승
4.0,그저 가슴으로 느끼게 되는 애니메이션이 있다.
4.5,이거 오스카상 받을것 같다 ㄷㄷ
4.5,"올 해 애니 중 최고

감정을 느끼지 말아야 할 것이
감정을 느낄 때의 감동이란

애증의 여우... 넌 두번 울지 마라
나까지 운다 ㅠ"
3.5,"그 누구의 도움도 없이 혼자 살아갈 수는 없어. 따스한 마음을 품는 것을 두려워하는 이들이 마음을 내어주기 좋은 세상을 보여준다. 편안하지만 분명한 표현들. 새끼 기러기를 키우는 임무를 넘어서서 세계를 구해내는 그림까지 원활하게 다다른다. 뻔하지만, 우리가 도달해야할 포용의 가치. 아이와 함께 보기에는 더할 나위 없이 좋은 선택이었을 거란 생각이 들었다. 희망적인 가사가 가득한 노래의 몽타주도 길긴 하지만, 탁월한 면이 있다. 그 회사(적대자)의 입장이 왜 그렇게 구성되어있는지 다소 의문이긴 했다. 미리 어떤 위협이 올지 모른다는 단서를 뿌려두면 좋았을 텐데 갑자기 끔찍한 재난을 몰고 오니 이해는 하지만 와닿지는 않는 느낌이었다. 전체적으로 좋은 영화다. 기본기를 넘어서는 활공의 이미지와 타이밍도 좋았다. 그 회사에 대한 조형이 조금만 더 좋았다면 더 마음을 내어주는데 편하지 않았을까."
4.0,"잘 키워주셔서 고맙습니다.

(조금 어수선한 후반부는 아쉬웠지만. 초중반부는….와.)"
3.0,"1. 나쁘지 않은 가족 애니메이션.
2. 아이언 자이언트 + 주토피아 + 아바타 + 천공의성 라퓨타 섞어 본 느낌."
5.0,"이제까지 본 애니메이션 중 최고라고 생각한다.
소설을 읽고 나서 영화를 봐서 그런지 더 감동이 크게 다가왔다. 속편을 기다리면서 하루를 살아야겠다."
5.0,SF는 인간성을 두고 얘기하기 참 좋은 장르인데 자연을 처음 만나는 무기체가 유기체에게 애정을 갖고 책임감을 느끼면서 따라야 하는 프로토콜을 끊어버린 다는 게 너무 좋았다 주체성을 가지면서 아름다워졌어 ……… 보는 내내 엄청 울었다
4.0,"곰은 로봇을 찢어...

날기 연습씬 하나만으로도 볼 가치가 충분
뭉클하다"
3.5,전혀 로봇같이 딱딱하지 않은 영화의 유연한 이야기와 사고 방식
4.0,"애니메이션 영화를 보면서
이렇게 울면서 본건 올해가 처음인것 같다.
미래에대해 불안해하고 있는 내게 너무 위로가 되는 내용이기에 안울수가 없었다
눈물이 쉴세 없이 뺨을 타고 흘러내리는데
그 순간 마음이 따뜻해지는 기분을 느꼈다
이런게 뜨거운 눈물 이라는거지...

영화는 뻔한 모성애를 다루는게 아니라
사랑, 자연, 도전, 화합, 지구온난화 등의
메세지늘 전하고 있다"
4.0,좋은 영상미에 로봇과 동물들의 유대감을 잘 보여준 애니
4.0,선천적인 프로그래밍을 뛰어넘는 모성애가 아닌 ‘사랑’. 뻔한 주제라 할지라도 사랑은 모두에게 값지다.
2.5,"기후 위기에 대한 모범적이지만 막연한 해결책을 아름답게만 그려내다.

#공익 캠페인#내일 지구가 멸망하더라도 나는 오늘 한 그루의 사과나무를 심겠다."
3.5,혼돈의 야생 속에서 죽어라 터득하는 육아법. 혀 빠지게 키워준 부모가 진짜 부모라는 사실이 한번에 꽂히듯 와닿는다.
4.0,"드림웍스의 투박하고, 익숙하며, 아름다운 비상"
4.0,정공법이 제대로 먹힐때....
3.5,훌륭한 영상미에 따스한 포용을 담아내다
4.0,이 영화의 최고의 히어로는 음악이라 생각한다.
3.5,한 시간까지는 올해의 영화…로봇 드림같은 로봇이 또 나올 줄이야
3.0,과제 초과 달성에 집중
5.0,감동이 오는 방법이 한가지가 아니다
3.5,세련된 대사를 쓸 줄 모르면 말을 줄이는 게 답인데.
4.5,"도우미 로봇인 '로줌 유닛 7134'는 다른 로봇들과 함께 숲에 불시착한다. 임무를 맡게되면 반드시 수행하고 완료하는 '로줌 7134' 일명, '로즈'는 사람은 살지 않고 동물들만 살고 있는 무인도섬에서 주변 동물들의 언어와 행동 그리고 자연의 섭리를 배우고 깨우친다. 그러나 자신들과는 너무나 다른 그 숲의 동물들은 '로즈'를 몬스터 취급한다.

그러던 중에 곰을 피해 달아나다가 사고로 기러기 가족을 죽게하고 세상에 홀로 남은 아기 기러기의 보호자가 된다. 태생적으로 날개가 짧게 태어난 아기 기러기 '브라이트빌'. '로즈'에게 드디어 맡겨진 임무, 철새인 기러기의 이주를 위해 가을이 되기 전에 '브라이트빌'을 비상(飛上)시켜야한다.

시작부터 이 영화 비상(非常)이다. 무인도섬의 자연 경관이 장관을 이루면서 눈물이 찔끔거리기 시작하는데 겨울 철새인 기러기가 가을부터 무리와 떼를 지어 수천킬로미터를 이동해야하므로 '브라이트빌'을 비상(飛上)시키기 위해 '로즈'의 임무 수행과 '브라이트빌' 날개짓과 고된 훈련이 마음을 울린다. 또한, 섬에서 외톨이인 붉은 여우 '핑크'와 계절을 더해가면서 돈독해지는 우정. 그리고 무인도 섬도, 섬의 동물들까지 '로즈'와 '핑크'를 자연스럽게 받아들이는 것까지 자연의 섭리처럼 느껴진다.

'브라이트빌'의 비상(飛上)을 성공시킨 '로즈'도 프로그래밍대로 제조된 공장 본부로 돌아가려고 했으나 복귀 송신기를 스스로 꺼버리고 섬에 머문다. 프로그래밍이 아닌, 마음이 울리는대로 섬에서 알게 모르게 도움을 주고 받고, 마음을 주고 받은 동물들과 혹독한 겨울을 함께 보내면서 '브라이트빌'을 기다리고 철새의 리더가 된 '브라이트빌'과 재회하는데 비상비상(非常非常).😭😭😭😭😭

여기서 끝이 아니라 후반부엔 정말 스케일도 꽤나 크고 역동적인 내용까지 더해지는데 '로즈'가 '와일드 로봇'이라고 스스로 지칭하면서 각성하는 모습도 감동 미쳤다.

삶이란 알 수 없다. 자연에선 생존의 본능이 최우선이기 때문에 무리에서 가장 약한 존재인 '브라이트빌'은 만약에 가족들이 살아있었다면 그가 오히려 도태되고 살아남지 못했을 수도 있다. 그러나, (사고였지만) '로즈'에 의해, '로즈' 덕분에 '브라이트빌'만 살아남았고 기러기 무리의 리더까지 될 수 있었으니 이 메세지를 이렇게 역설적으로 따뜻하고 감동있게 담아낸 스토리텔링 정말 훌륭하다.

""내년 오스카 장편 애니메이션상 어디까지 왔어요?"""
4.5,이상적인 못한 방법이 우리를 더 우리답게 만든다
4.0,"공을 많이 들인 것 같다.
이념적인 은유법은 말하기 힘든데 적당히 화자의 말을 눈높이에 어울리게 잘만든듯.
감동 한 수푼 너을려고 노력한듯."
4.0,사랑은 머리가 아니라 가슴으로 하는거라고…
3.5,가족애와 연대에 이터널 선샤인 한 방울
4.0,"친절함으로 세상을 바꾼다는건 참 멋진 일이다.
특히나 요즘같은 시기엔 더더욱…
오랜만에 극장에서 눈물흘렸네🥹
[20241001 VIP 쿠폰]"
5.0,"올해의 내 눈물버튼

영화관에 둘뿐이라 다행이다
혼자봤으면 펑펑 울었을텐데

언젠가 로봇은 감정까지 배우고,
언젠가 인간은 로봇까지 사랑하게 될꺼야

로즈와 핑크같은 혜원M와 함께"
5.0,"토마토지수 97%
관객점수 98%"
4.0,"불가능을 알면서도 지금 우리가 모두 바랄 유토피아
+ 장르도 연출도 여러가지 시도하려는 욕심이 많아보여 당황스럽긴 했지만 만듦새가 대단하다"
3.5,"동그란 얼굴과 가느다란 목, 빛나는 두 눈과 순수한 마음이 똑 닮은 단단한 엄마와 부드러운 아들의 날아오름을 보며 뭉클해졌다."
4.0,스포일러가 있어요!! 보기
4.0,"그럼에도 불구하고 함께 살아가는 세상이기에,,😊"
4.0,"가족을 이해하고, 나를 이해하고, 남을 이해하고
친절을 베푼다면"
4.0,야생에 떨어진 로봇이 데이터 수집과 기계학습을 넘어 교감을 하게 된다면.
4.0,우연으로 시작된 만남이 사랑으로 마무리되기까지
3.5,자신을 희생해서 지킬 만큼의 사랑도 처음에는 그냥 우연히 어쩌다가 생긴 인연에서 비롯된다.
4.0,머리가 아닌 가슴으로 날아오르다
4.0,"<드래곤 길들이기>, <크루즈 패밀리>에 이어 가족과 연대를 소재로 한 애니메이션을 얼마나 탁월하게 만들어낼 수 있는지를 여실히 증명하는 크리스 샌더스의 저력."
4.5,"인공지능과 빅테크, 지구 온난화의 시대에 세상을 바꾸는 것은 결국 알고리즘이 최적화할 수 없는 사랑. (그리고 공화국에 대한 깊은 애정.)"
3.5,"요즘 화두인 ""친절""이 주제다.

카인드 오브 카인드니스에선 친절을 풍자했다면

와일드 로봇에선 아이들이 보는 애니메이션 답게

가족영화 성장영화의 형태로

어느정도 진부하지만 명확한 형태로 쭉쭉 나아간다.

자본주의 사회에서 최대한 다수가 행복하게 살기 위해선

친절함이 생존 무기라고 믿는 사람들이 있다.

2024.10.1 롯데시네마"
3.5,"품어줌으로써 날아갈수 있었고, 온동네 동물이 연대감을
이룰수 있었던 1등공신 로즈와 사랑스런 새아들 브라이트빌"
3.5,"내가 너에게 도움이 될 수만 있다면….난 그 어떠한 역경이 와도 널 도울 거야!
<시사회 롯데시네마>"
4.0,"뻔한데 또 그만한 울림이 있다
사운드가 좋고 4dx에서 보면 더 좋을 것 같은 영화"
4.0,"브라이트빌는 태생적으로 할 수있는 것을 잘해냈지만,
로즈는 태생적으로 할수 없는 것들을 해냈다.
사랑은 그런것이다 할 수없는 것을 해내게 하는것."
4.0,잘끓인 라면같은 영화
2.5,클리셰 속 한줄기 인류애
3.5,이런 세상을 꿈꾼다
3.0,급성장으로 감정선이 튀는 부분 말고는 보편적이다
4.5,"따뜻한 그림체, 사랑스러운 캐릭터, 뭉클한 감성. 이 시대의 아이언 자이언트."
4.0,"감정을 가리기 위한 불친절보다, 본능과 천성이 이끄는 친절의 세계로."
5.0,드림웍스가 선사하는 라스트댄스
4.0,"드림웍스가 그리는 주토피아, 그렇게 어머니가 된다.
-
뉴욕 타임즈 베스트셀러로 선정된 동명의 소설을 원작으로 하는 드림웍스 30주년 기념작 <와일드 로봇>을 감상하였습니다.

우연한 사고로 야생에 불시착한 로봇 '로즈'가 아기 기러기 '브라이트빌'의 보호자가 되면서 펼쳐지는 이야기입니다.

낳은 자식은 아니지만 사랑으로 키운 브라이트빌을 독립시켜야 하는 로즈의 모성애와 선천적으로 불리한 조건을 가지고 태어난 브라이트빌의 날기 위한 노력, 야생 동물들의 연대를 통한 유토피아 구축의 이야기를 붓으로 그린 듯한 느낌의 3D 그래픽으로 따뜻하게 그려냈습니다.

다만, 많은 이야기를 담으려다 보니 몇 가지 주제에 집중했다면 어땠을까 하는 아쉬움이 있습니다. 특히 로즈의 모성애 부분을 좀 더 집중적으로 다뤘으면 하는 욕심이 들었네요.

초등학생 이상의 아이가 있는 가족이 함께 본다면 감동적인 순간들이 많이 찾아올 것입니다.

이미 많이 봐온 소재이고 클리셰의 향연이라고 볼 수도 있지만, 아는 맛이 무섭다는 것을 확실하게 보여준 작품입니다."
4.5,"용산아이파크몰 4DX 프라임석
ULTRA 4DX 별점 : ★★★★ 4.0 ▲
SCREENX 별점 : ★★★★★ 5.0 ▲

주요 효과 별점
모션 효과 최대 강도 : ★★★★☆ 4.5
모션 효과 평균 강도 : ★★★★ 4.0
모션 효과 비중 : ★★★★☆ 4.5
환경 효과 비중 : ★★★★☆ 4.5

레인워터 : ★★★★☆ 4.5
윈드 : ★★★★☆ 4.5
레인스톰 : ★★★★ 4.0
페이스워터 : ★★★★ 4.0
향기 : ★★★★ 4.0
백티클러 : ★★★☆ 3.5
레그티클러 : ★★★ 3.0
열풍 : ★★★ 3.0
에어샷 : ★★★ 3.0
라이트닝 : ★★★ 3.0

하이라이트 효과 별점 : ★★ 2.0

SCREENX 화면 비중 : ★★★★★ 5.0
SCREENX 화면 영향력 : ★★★★★ 5.0

스크린엑스 포맷 강력 추천 작품

관람내역
CGV 용산아이파크몰 ULTRA 4DX 2회"
4.5,"8살 아들은 벌써 2편을 기다리고,
6살 딸은 감동해서 울었고,
5살 아들은 하품하다 울었음.
성인의 시각으론 전개가 다소 미흡한 부분이 있지만, 6세 이상 아이들의 눈높이엔 딱 맞는 영화5"
4.5,"가장 '나'다울 때 가장 '우리'같고, 우리는 가장 어두울 때 가장 밝게 빛난다."
4.0,"동물의 왕국에 불시착헤 버려진 로봇의 육아 미션 수행
인간보다 더 인간적인 로봇 서사를 잇는
30주년 드림웍스의 가장 따스한 로봇 어드벤처 ^^"
3.0,"후반부로 갈수록 진부해지는
스토리와 메시지가 아쉽지만
초반부의 신선함과
곳곳에 돋보이는 개성이 인상적."
3.5,클래식은 언제나 좋다 먹던 맛이지만 질리지 않고 편안함을 가져다준다
4.0,친절함은 최고의 생존 스킬이야🥹❤️
3.5,"뻔하지만 잘 만든 영화엔 늘 무장해제!! 드림 웍스는 살아있다!!

부천 롯데시네마"
3.0,시판도 되기전에 클리셰가 되어버린 로봇의 가족드라마
