평점,리뷰
1.5,같은 방식은 식상하기 마련이다
1.0,"점점 산으로 가는 내용
역시 원작 1,2편만이  최고다"
1.5,이름 뿐인 데스노트. 전 편에 비해 턱없이 멍청한 캐릭터들. 액션영화를 일일드라마로 만들어버리는 연출. 데스노트라는 수단에 이끌려가는 전개에 다음이 전혀 기대되지않는 서막. 이를 위해 전 편의 캐릭터들을 이렇게 망쳐도 되는건가.
3.5,두뇌싸움이 사라진 허울만 남은 엘과 키라.
2.5,유전자의 3연패..
2.0,새로운 판을 워너 브라더스와 깔으니 신세계가 펼쳐진다.
0.5,'쓰레기'라는 단어 이외에는 떠오르지가 않아
1.5,"새로운 L은 기존ㄴ과 다른 오글거리는 연기

이미지도 어울리지 않고..완전 미스캐스팅임"
1.5,제목에 ‘뉴’를 붙힌 이 영화의 어떤 것을 눈 뜨고 봐도 1편과 2편의 라이토와 L의 잔상이 더 짙다.
1.5,나의 데스노트 그만 찢어..
3.0,"스다 때문에 뵜는데..
L후계자 와 주인공 연기 와~~😀
L후계자는 콧수염에 써클렌즈 무엇?😀
뭐 제대로 누구하나 활약도 안보여주고..
스다는 왜이리 말라 비틀어진건지..
시간 아끕다..제길😀"
1.0,여기서 마무리해야만 하는 시리즈.
2.0,"3배우가 정말 라이징 라이징 빛나서 뛰어놀던 시기의 작품.
스다 마사키, 이케마츠 소스케, 히가시데 마사히로.
한 명의 라이징 스타에서 최고의 스타가 되었고,
한 명은 보여줬던 역할들 만큼 더 깊은 연기를 보여주는 배우가 되었고,
마지막 하나는 그냥 미성년자랑 불륜한 놈으로 전락했다.

결국 얼굴과 스타일과 연기로 승부하는 배우는 다르다는 생각을
오랜만에 하게 된 영화였다.

이케마츠가 겨우겨우 끌고 갔지만, 영화를 살릴 수는 없던 느낌이다."
0.5,캐붕 끝판왕...
5.0,진짜 데스노트 얼마나 망칠래?
5.0,일본판 박정민과 함께 떠나는 여행
3.5,"20.01.30 (13:28)
# 전편 인물들도 넣어서 꽤나 개연성있게 잘만들었다"
0.5,이제 제발 원작을 망치지 말아줘
2.5,일본도 사골 고집이 참 대단하다
1.0,스포일러가 있어요!! 보기
2.5,왜 만든거야- -
0.5,알고보니....주인공이 나쁜놈 이라는 전개는 이제 너무 뻔하지 않냐?
1.5,"쓰렉 ,,"
2.0,"아무런 감흥도 느낄 수 없는 엉상한 후속판이자 스핀오프다. 치밀하지못한 스토리와 캐릭터설정이 억지스러운 결말과 전개로 이어진다. 데스노트라는 타이틀에 기댄 천박한 상업화가 기막힌 설정오류로 드러나고, 한껏 허세만 잡는 전형적인 일본영화에 공식을 따르고 만다. 분명히 이렇게될 줄 알았을텐데.. ""역시 인간은 재밌어"""
1.0,비행기에서 너무 볼게 없어서 봤다ㅎㅎ
1.5,재미도 없고 감동도 없고...... 총보다 빠른 펜......
3.0,이제 그만 보내줍시다
1.5,그냥 데스노트를 잊지않고 있었다는것에 만족하자...
1.5,몰입도 최악인 듯..
3.0,"인간은 재미있지만 이 영화는 아니다.
6 times more notes, 6 times less fun."
0.5,데스노트 시리즈 중에서 내용이 전혀 이어지는걸 이해를 못햇다 그대신 드라마 3부작인 걸 보고 아하 이런내용이엿구나 이해를 하게되엇다 역시 내용을 이해해야 더 재밋게 느껴진걸 알게되엇당 ㅎㅎ
1.0,좋은 소재를 가져다가 이렇게 지루하게 만들다니.. 굳이 전작과 연관시키지 않았으면 더 재미있었을 것 같다. 그리고 주인공이 마지막에 기억을 찾는게 말도 안되는게 데스노트를 만지는 순간 기억을 찾는데 이미 초반에 만지게 된다. 그리고 류자키와 키라의 후계자라는데 별로 두뇌싸움은 아니었다. 그냥 일반인 싸움수준...
2.5,아주 엉망진창이고만?!
4.0,"오바들 떤다 
연기들이 다들 왜그래
하긴 그맛에 본다"
2.5,데스노트 만화책을 인상깊게 봐서 그런지 나름 재밌게 봤다. 또 다른 스토리가 나올수 있다는 점도 흥미로움
1.5,시리즈가 계속 나오는건 좋지만 라이토와L의 시리즈에 비빌만한 작품으로 나올까 .. 룰이 이미 정해져있어서 이번 시리즈에서 중요한 장면에 대한 내용이 충분히 예상이 가버리니 기대가 떨어짐
1.5,본질을 잃은채 무의미한 살상만 난무한다.
3.5,"미사를 끌어다 왔음에도 무매력 캐릭터들의 향연
이제 그만 쉬게 놔두자"
1.5,굳이  “인간계에 존재하는 데스노트는 6권” 이라는 새로운 룰이 필요했을까?
3.5,데스노트 위에 적힌 건 그 누구도 아닌 이 영화의 개연성.
3.5,"글로 승부하던 데스노트의 아이덴티티는 어디가고 말로 승부하고 있는지...
각본에 문제가 있으니 대사 외엔 설명할 길이 없어 안쓰러움."
4.0,여배우보다 사신인 아마에 더 매력을 느낌 ;;
3.0,"데스노트를 다시 볼 수 있다는 게 즐거웠다.
새로운 룰을 추가해서 세계관을 더욱 확실하게 구축했다."
3.5,스토리가 답이 없네. 그래도 히가시데 마사히로 잘생긴 맛에 봤다.
3.5,"꼭 자신의 유전자를 계승시켜야만 했나? 싶기도 하고
아직 다듬어지지 않은게 너무 많다.
참 흥미로운 소재여서 이것저것 하고싶은 맘은 이해는 하겠는데...."
2.0,"6권의 데스노트란 말을 들었을때 영화가 제대로 진행될지 의심됬지만,
역시 데스노트는 키라와 L의 싸움이다
새로운 규칙을 알게되었어
'6권의 데스노트가 세상에 존재하면 7번째 부턴 효력이 없다'"
1.5,제발 설명을 하지마 무슨 백과사전도 아니고 모르면 넘어가라고......남 주인공은 별 한개
3.0,"나한테 데스노트가 주어진다면 이 영화의 후속작이 안나올텐데... / 2017-024, CGV"
2.0,"포기할수없는 데스노트 속편의 유혹인가ㅋㅋㅋ
드라마 3편을 보고보면 캐릭터를 이해하기에 좀 더낫다
그리고 애초에 혹평할 마음가짐으로 모든걸 내려놓고보면 볼만하다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
근데 이 영화도 브로맨스는 놓지 못하는구나"
0.5,원작의 오마주만 생각하다 개연성은 저멀리 보내버렸고 데스노트를 드래곤볼처럼 활용하며 10년 전보다 캐릭터들이 머리는 떨어지고 허세만 늘어났다
1.5,혐오스러울 정도. 내 시간이 너무 아깝다
0.5,원작과 전편이 얼마나 매력적이였는지 생각하게되는
3.5,라이토에게 0.5점 줍니다
2.5,"오랜만의 데스노트에 대한 추억팔이로 굉장히 적합한 작품.
데스노트 본편에 나온 트릭들이 너무 완벽해서 아쉬운 작품이라고 할 수 있겠다."
3.0,쿠키영상..라이토가 이긴건가
2.0,"이작품은 좀만 더 다듬었으면 명작반열에 오를수 있었다
진심으로 하는 말이다"
2.0,"그냥 리부트를 하던가 하지 그만 질질 끌고 ㅡ
툭툭 튀어나오는 발연기는 덤 ㅡ
손발이 오그라드는 대사는 양념 ㅠㅠ"
2.5,펜은 총보다 빠르다!? ☞ http://m.blog.naver.com/atomicblow/220971401792
1.5,박수칠 때 떠났어야 했는데..
2.0,"3편을 만들기 위한 무리수.
개연성이 이리 없을 수가.. 특유의 유머도 사라짐."
1.5,?
1.0,월드는 개뿔
0.5,점프 입문의 추억이 진창을 구른다...
0.5,이렇게 초 거대한 똥을 본건 처음이다
2.0,내 시간과 시력을 죽였어
2.0,원작을 보는 재미를 철저히 무시한 멍청이들간의 대결.
1.5,@-@
1.0,허세 허세 허세
0.5,류자키 : 데스노트는 사람을 미치게 만들어
0.5,굿즈로 받은 데스노트 노트에 감독 이름 썼다.
1.0,"영화의 메세지가 없어지고
데스노트 작성법칙만 다루는 느낌"
0.5,펜은 총보다 강하다(물리적)
2.0,기분 잡치는 영화.
1.5,소스케 없었으면 0.5임
1.5,호부견자
2.0,이정도면 미스캐스팅이 컨셉
0.5,"내용 ㅂㄹ인데
잘생겨서봄"
2.0,음?
2.0,딱 팬아트 수준
2.0,데스노트는 두뇌 게임이 메인인데 애들이 너무 바보같다.
2.0,그 뛰어난 계략들은 어디 가고...
0.5,"스다 잘생김
끝"
1.0,이케마치 소스케란 배우의 매력 빼고 아무것도 없는 작품
0.5,10년 전보다 나아진 것은 화질뿐.
1.0,그만해 제발…
1.5,지루한 노트전쟁.
2.0,뇌절 ㅋㅋㅋ
2.5,스포일러가 있어요!! 보기
1.0,4.79
1.5,?
2.0,fu..ck
2.0,"6권의 데스노트
L의 후계자 류자키
미사의 사신의 눈
뉴 키라의 정체는 미시마 (나카가미 료)
류자키의 죽음"
1.0,스포일러가 있어요!! 보기
3.5,제발 멈춰죠
0.5,스포일러가 있어요!! 보기
0.5,개노잼
2.0,엘도 안나오는데 왜 봐.. 안 볼라고… 엘이 죽다니ㅠ
0.5,이제 그놈의 상상력을 무한 봉인하고 싶다.
0.5,"신랑이 데스노트 앞 시리즈를 다 봤는데 재밌었다고해서 같이 보기 시작했는데 너무 재미없어서 당황했음;;

어떻게 영화가 전개되고 끝이 났는지 아무것도 기억 안남;;

여튼 다시 시리즈 1,2,3 다시 보고 오기로 하고 끊었다는.."
0.5,"이 노트에 이름이 적힌 사람은 죽는다. X
이 노트를 가지고 이딴 영화를 만든 사람은 죽는다. O"
2.0,데스노트 위에 시나리오를 적었나보다.
2.0,스포일러가 있어요!! 보기
1.0,원작 세계관과 설정을 소모하다
1.5,진짜 구림 안만드니만 못했음
2.0,"데스노트 마지막편이지 잘 모르겠으나 내용 어수선하다

차라리 예전에 끝내야 하는 영화 인 것 같다"
1.0,원작때처럼 두뇌 대결 같은건 없구나..
2.0,떡밥을 풀었으면 정리를 해야지 왜 먹고 있냐...
2.5,"나름... 팬심으로 딱 참고 볼만했......으려나
팬심으로 꾹 참고 봤지만 글쎄용...
관심없으면 스킵하세요ㅋㅋ"
2.0,역시 총보다 펜이 더 무섭다
2.5,음....그냥 토다 에리카 보려고 봤어
3.0,"류자키 역할 스다가 맡았어도 어울렸을 듯
하 ㅋ 그래서 결론이 뭔데요"
2.5,"세 개의 작품 중 가장 좋은 연출력과 놀라운 CG, 하지만 영화적 매력이 없다. 아이디어의 부재."
2.0,스포일러가 있어요!! 보기
1.5,"20.08.21
내 2점은 cg점수"
0.5,"빈틈투성이로 우려먹기.
지들끼리만 진지하다."
2.0,사람이 아니라 시간을 죽이는 노트인줄은 몰랐네. 끄기 전까지의 30분이 내인생 제일 가성비 떨어지는 30분이었다
1.5,라이토 & L  후계자들 수준 ㄷㄷㄷ
2.0,"미사를 위한 엔딩 딱, 거기까지..."
1.5,핵노잼
2.0,인간의 욕심은 끝이없고 같은 실수를 반복하지
2.5,"전작에 비해 주인공들도, 사신들도 매력이 너무 없다. 특수부대를 펜으로 대적하는 말도안되는 상황은 또 뭔지. 계획대로는 얼어죽을.
류크가 귀여워서 0.5점 더 준다."
2.5,스다 나와서 봤다
2.5,스포일러가 있어요!! 보기
1.0,"뇌절의 끝에서 뇌절을 외치다,"
3.0,니네.. 머하냐?
1.0,초반은 미스테리로 잘 쌓아놓고 후반이 아쉬운걸
2.0,원작 설정 무너뜨렸으면 좀 잘 만들던가.
3.0,스포일러가 있어요!! 보기
2.5,만화의 재미를 살리지 못했다. 제2의 L도 기대이하.. 원작을 보지않았다면 재밌게봤으려나?
1.5,의리의 데스노트 감상
1.5,스포일러가 있어요!! 보기
0.5,"유전자...?응 ...?
@넷플릭스"
1.5,"아마네미사? 에?  정말 10년이 지났구나...
시도만 좋았다."
0.5,텅텅 빈 게 끝나지도 않는다.
3.5,개똥같네증말...
1.0,재밌는데 좀 어렵고 헷갈림
5.0,진짜 화려하고 막... 두뇌싸움도 하고 반전도 잇고.... 뭔가 오지는건 알겠는데... 재미가 없다.......
0.5,2019. 03. 23
0.5,원작을 철저하게 파괴하는 영화..
2.5,점점 산으로 가는 전개와 앞에 엘의 후계자의 렌즈가 자꾸 눈에 거슬린다
0.5,그래서 다음 속편 주인공도 마사히로라는 말씀이죠! ㅎㅎ
4.5,"모두들 들어라 드디어 일본이 멸망의길을
걷기 시작했다"
1.5,"잘만들었는데 이거 왜이리 평점이 낮음?  원작에 대한 재해석이라 생각하고 보면 반전도 신선하고 cg나 카메라 연출 등등 나름 많은 곳에 노력들어 만든 흔적이 보임  
스토리 개연성이 살짝 아쉽긴 하지만 절대 2점 짜리 영화는 아님 다들 실사화에 대한 편견때문에 그러시나...."
0.5,엘 후계자 왜 외모는 후계받지 못한거야? 이거 나만 속상해? 나 쓰레기야? ㅇㅈ
1.0,류크 다신 보진 말자~
1.5,생각대로 재미가 없다
1.5,개연성을 이렇게 던져버릴 수 있다니
1.0,예고편찍으려고 영화를 만들었나..
2.5,오직 스다 때문에 봤다 무슨 내용인지는 모르겠고 토다와 스다를 봐서 그걸로 만족
2.5,애초에 키라와 엘이 존재하는 이유가 뭔데 왜 후속편까지 만들어서 흙탕물을 뿌리냐? 결국 전편에선 이루지 못한 브로맨스를 위한 희생물이였을 뿐. 게다가 연기는 CG만 하는 실사화라니.
2.0,"스다 나와서 보긴 했는데,,, 영화보다가 재미없어서 졸아버림"
1.5,이건 도대체 뭐냐?????
1.0,드래곤볼+오글거림+총=데스노트: 더 뉴 월드
1.5,그... 무슨 소리를 하는거죠?
0.5,데스노트에 뭔 개짓거리여 이게....
1.0,왜?
2.0,스다 마사키가 잘생겨서 0.5점 추가.
0.5,반전을 노린듯한? 새로운 데스노트의 느낌 전보다 뛰어나지는 않음
1.0,머리싸움을 그려낼 수 없는 작가는 머리가 나빠서 그런 것인가?
0.5,"원작파괴를 넘어 능욕수준.
두뇌싸움은 실종되고 뜬금포 우정대잔치열렸다
류자키 사신은 무슨 박애주의자냐
키라고, L이고, 사신이고 전부 소년만화주인공 빙의해서 청춘물 찍고 난리났네
아. 진짜 원작 데스노트팬인데 욕나온다"
2.0,이제 그만..
2.5,"별 두개를 준건 다음 작품이 기대되서이다.
이번 영화는 확실히 원작의 이야기를 확실히 마무리 지어야 했다.
그렇게 원작의 스토리와 관련 인물을 모두 마무리 짓고
같은 소재로 아예 새로운 스토리를 만들면 어떨지 궁금하다."
0.5,"반전이 계속되다보니, 재미도 반전이 되어버렸다.."
0.5,😊............ 후... 연기도 이상하고 전개도 똥같고 제발 보지마세요 극장에 보다 중간에 뛰쳐 나옴
2.0,"일단 노트에 감독 이름부터 쓰자
(다 같은 편이었음 중반부까지의 소동은 할 필요 없었잖아?)"
2.0,엘 죽어서 안 나오는 걸 아니까 안 봅니다.
0.5,몰카의 몰카의 몰카였던거임~
1.5,"'데스 노트, 4편을 끝으로 사망'이라고 데스 노트에 적고 싶다."
0.5,성냥팔이 소녀의 재림급 역대작. 이케마츠 비쥬얼때매 계속 집중안됨
0.5,이제 제발 그만;
2.5,하암~
2.0,후속작 내면 진짜 죽인다
3.0,"개연성 X
스토리 X
just 데스노트 스핀오프"
2.5,"-하상욱씨 왜그래?
-설마 후속편이?"
2.5,"야가미라이토만큼 미치지도, 류자키만큼 천재적이도 않은 이들의 이야기를 왜 우리는 10년이 지난 지금에와서 보아야하는가. 아마네미사역의 토다에리카의 등장이 살짝 반가울뿐이다"
2.5,한두편정도 더 만들고 싶어하는 것 같다만 죽은 자식 불알만지기가 따로 없네.
1.5,나새기 언제까지 남주보면서 그래도 누구는 잘생겼으니까 괜찮아 이정도는 참아줄 수 있어라고 시간낭비 할것이니ㅜㅜ
0.5,여섯 개의 데스노트가 스토리를 산으로 보낸다
1.0,복잡하고 또 복잡하다
4.0,다음편 또 만들라고...? 마사까...
2.0,"리뷰: http://namcreative.tistory.com/119
나에게 데스노트가 있다면 영화를 보기 전 내 이름을 적을 것이다
- 꽃남 영화 블로그 리뷰"
3.0,재미있어요
2.0,"1절은 들어줄 만 했다. 후렴까지도 괜찮았다. 그런데 허접한 2절이 등장하더니, 말도 안 되는 후속곡으로 복귀했다."
1.5,"맞으면 미쳐버리는 빗물이 있다.
그 빗물이 쏟아지고 있다.
우산으로 얼굴을 가리거나
집 안으로 들어가 꼼짝도 하지 말자."
2.0,지루해 죽는줄;;
3.0,류크 혼자 하드캐리
0.5,제발 인간세상에 데스노트 좀 그만 떨궜으면 좋겠다...
1.0,시가때우기 좋네
1.0,"이미 데스노트로 할 수 있는 신박한 일들은 전편에서 다 했기 때문에 그다지 새롭다고 느낄 것은 없다.
반가운 미사와 마츠다를 보는 것으로 만족했다.
데스노트 여섯 권으로 여섯 명의 인물이 두뇌싸움을 한다는 것을 기대 하고 보지는 말길"
2.5,시작점부터 뒤틀려먹은 물건을 뒤틀린 대로 찍으니 이 꼬라지가 나지...
1.5,몇번졸다가 겨우 다봤네... 어후;;;
2.5,"데스노트를 이용한 돈벌이는 그만하라.
차라리 같은 소재와 스토리로 배우를 바꿔보는게
지금의 명성에 흠집을 내지 않을 것이다."
1.5,만화에서 살려낸 캐릭터 특유의 과장된 몸짓과 표정을 보기가 힘들었다. 개연성이나 설명이 부족한 것 같지만 그래도 다음편이 기대되는 작품!
0.5,생뚱맞다. 차라리 다른 배우로 리부트를 하는게 낫겠다
2.5,시작 했으니 속편을 내놔라...
2.0,감독 이름을 데스노트에 4444번 써야 한다
3.0,이럴거면 고만하자... 원작 베린다...
0.5,노트6권으로 똥꼬쇼라니
2.5,"그냥 우리가 알던 그 데스노트 그대로..
영화로는 이제 그만 나와도 되지 않을까? 영화로도, 애니로도, 드라마로도 데스노트는 충분히 본것 같다. 완전 또다른 전개가 아닌 이상 이제는 놔주어도 괜찮을듯.."
2.5,형만한 아우 없다더니 데스노트 특유의 재미는 없어지고 난잡해졌다. 후지이미나때문에 끝까지 보긴 했다.
1.0,사신 CG는 좋아졌다. 새 사신 디자인(특히 아머)도 괜찮고. 하지만 그뿐.
2.5,엄청 땡기고땡기다가 갑자기 줄을 팍 놔버린 느낌. 진짜? 이렇게 끝낸다고? 싶었다
1.0,극장에서 봤으면 큰일날뻔 한 영화
1.5,"이번에는 데스노트라서 본 게 아니라 '토다 에리카'가 나와서 봤다.
본인의 영화 데뷔작의 후속작을 10년 후 역변한 상태에서 찍다니 감회가 새로울 것 같고, 보는 나도 ""나의 토다 에리카는 이렇지 않아!""를 외쳤다.
전반적으로 드라마 데스노트의 느낌을 받았고, 전작 영화들에 비해서는 현대적인 연출을 한 것 같다.
마지막으로 '포테이토칩 콩소메 수프 맛' 먹고 싶다.
+역변해도 토다 에리카는 예쁘다."
0.5,"東出まじかっこいいだけ
+)菅田も
続編フラグめっちゃ嫌だから"
2.0,이래서 펜이 총보다 강한거엿어!!!
0.5,무한히 우려내려던 사골의 끝. 알고 보니 아무것도 없었다더라.
2.0,그....그만
2.0,우려먹기의 폐해
1.5,"첩보물로 만들거면 데스노트는 왜 필요한가.. 
규모가 큰 일본 영화 연기는 왜 항상 오버할까.."
3.0,이딴걸 반전이라고...
2.0,6권의 데스노트 그리고 3명의 얼간이들
2.5,"라이토와 L 없이는 절대 할 수없는데 그렇다고 안하기도 싫어서,
이상하게 끄집어낸 유전자 놀이
아마네 미사의 끝을 본 것만으로 이 영화에 의의를 두고싶다."
1.0,모든 경계가 모호하다. 뭐 어쩌라는 거지?
3.0,후속작 만들지마라
1.0,전편을 따라가지 못하는 영화. 데스노트는 이제 놓아주자.
1.5,자신을 데스노트에 써넣은 영화. 치밀한 계산 대신 자극만 앞선다.
0.5,그만했어야했다
1.0,무리수를 두뇌 싸움이라 착각하고 있군.
1.0,이런식의 데스노트 더이상 원치 않는다
1.0,"왜 굳이 훌륭한 작품을 영화화해서 조졌는가 ..
왜 또 속편을 내서 한번더 조지는가 ..
이 영화가 내게 알려준건 왓차평점이 0점은 없다는거 .."
2.5,"1편보다 너무 낮은 평점
내용도 어눌하고 말이 안되는 부분이 너무 많음
아마추어 영화같다"
1.0,감독 개새끼.
3.0,이도 저도 아닌 영화
3.0,"스다 때문에 봤는데 아마에 치였네, 아마는 충실한 친구"
2.0,류자키의 가면과 아마를 위해
0.5,우려먹다... 우려가됐다.
2.0,만화 데스노트 팬으로서 데스노트 영화들이 전부 쓰레기라는건 인정하지만 원작 팬들을 위한 이벤트성으로 나오는건 찬성하는 쪽이라 망작이라도 계속 나왔으면 하는 마음...
4.5,"세상에... 이런걸 왜 만든거지
키라가 안 만들면 감독부터 다 죽인다고 했나"
1.0,"치열하게 썻던 데스노트를
아무생각없이 모든것을
보여주기만 했다"
1.0,흠... 반전의반전
1.0,이건 아니잖아~~
2.0,맛 없는 잡탕찌개
3.0,"역시 1만큼 재밌지도, 캐릭터가 매력있지도 않다."
3.0,연기빼고 모든 면에서 실망이 컸다.
