평점,리뷰
3.0,"살인보다 무서운 질투심.
+제인에어를 보는 듯 했다."
2.5,재밌어지려다 말고 재밌어지려다 말고 결국 마네
2.5,세련된 연출은 그런대로 좋았으나 원작을 살리지 못한 히치콕만의 분위기
3.0,"추억을 향수처럼 병에 담을 수 있다면 어떨까?
아무 때나 열어볼 수 있게
그럼 그 순간을 그대로 느낄 수 있을텐데"
3.5,"초반의 줌인은 더욱 로맨틱하게 느껴졌고 2시간 동안 지루함을 느끼지 않았다. 여주인공은 작품을 더해갈수록 매력적이게 변해가고 남주인공은 이번 작품에서도  콜미바이유어네임의 멋진 형 그자체이더라.
소설원작 답게 영화역시 한편의 소설이더라."
2.5,시대를 초월한 영화의 리메이크는 언제나 환영하지만 시대에 갇혀버린 영화의 리메이크는 필요성을 못 느끼겠다
3.5,"뮤지컬은 굉장히 어두운 느낌이 강렬했는데
영화는 색감이 극분위기와 대비되는것이
극적인 효과를 끌어올리기 보단 긴장감이 떨어지긴 한다
근데 오히려 이 분위기가 살짝 취저였다
그리고 맨덜리는 에놀라홈즈에 나온 저택이랑 같은 저택이었음
(아미해머 사랑했던 배우였는데 ㅠㅠ)"
1.5,뮤지컬 레베카의 댄버스부인 노래만도 못한 인스타그램용 영화
2.0,"히치콕의 레베카는 영화 안의 인물들이 철저하게 레베카의 그늘안에서 갇혀있었다.
그에 반면 리메이크 판은 레베카의 그늘이 아닌 히치콕의 그늘에 '어정쩡'하게 갖혀있다."
2.0,아무리 생각해도 인물비중을 바꾼 게 악수[惡手].
3.0,"와 이걸 벤 휘틀리가 맡았다고????
넷플릭스 섭외력 뭐노"
3.0,"3.5
생각하다가
15분 남겨 놓고 3점으로 바뀜
마지막 껏이 아주 기를 확 꺽음"
2.0,위대한 걸작을 그저 납작하게 복사했다.
3.5,"취사선택이 확실한 리메이크 작. 휘틀리의 영화는 처음부터 히치콕의 서스펜스를 뛰어넘으려는 마음이 없었던 것으로 보인다. 대항불가의 영역을 애초에 넘보지 않은 느낌이랄까. 그 대신 보다 뚜렷한 대사와 명료한 인물들로 주제 의식을 강화하는 것에 구별점을 둔 듯하다. 고전을 각색하는 데에 따르는 위험을 줄일 수 있는 현명한 방법이자, 제 나름의 매력이 있다고 생각하면서도 기대만큼의 심리적 압박감이 부재하여 조금 아쉬웠던 것은 사실.

그렇다면 휘틀리가 방점을 둔 주제 의식은 무엇인가 하니, 그의 <레베카>는 무엇보다도 여성의, 여성에 의한, 여성을 위한 <레베카>라고 할 수 있을 듯하다. (기존 소설의 각색 작품들의 특징이라 할 수 있는) 미묘한 어긋남이 중첩된 여성 관계와는 다르게, 연대와 믿음으로 이어진 충성스러운 여성들의 계보가 그의 맨덜리에서 펼쳐진다.

***

1. 레베카
이미 죽고 없지만 그 누구보다 강력하게 존재하는 레베카. 레베카는 그를 아는 대다수의 이들에게 사랑스러운 여인이자(“그렇게 아름다운 여인은 본 적이 없었지.”) 묘한 마력을 가진 여인으로(“왜, 그런 여자 있잖아. 남자든 여자든 다 홀려 버리는, 우리 같은 인간이랑은 부류가 다른 사람.) 기억된다. 하지만 그 무수한 말들은 모두 표표 떠돌기만 한다.

성녀 혹은 마녀로 치부되어 가십거리처럼 떠도는 레베카. 그런 그를 제대로 기억하고 불러주는 건 어릴 적부터 그를 돌보아 준 댄버스 부인뿐이다. 애초 레베카의 혼이 맨덜리 저택을 가득 메우게 된 것도 그를 끊임없이 생의 공간에 붙잡아 두려던 댄버스의 집착 어린 분투였지 않나.

댄버스를 통해서 이전엔 모르던 레베카의 새로운 모습 역시도 되살아난다. 가부장 질서를 내파(內-破)하며 삶을 즐기고, 자신의 비위를 맞추며 꼬리를 살랑거리던 주위 남성들을 비웃으며 조롱하던 그의 모습이. 주변 사람들이 기억하는 사랑의 마녀, 맥심이 기억하는 광기의 마녀는 그곳에 없다.

하지만 그런 댄버스조차 레베카를 전부 포착했는가 하면 그건 또 아니다. 댄버스의 말처럼 레베카가 모든 것을 비밀 없이 댄버스에게 말했느냐 하면 꼭 그렇지도 않았으니까.

(기존 뮤지컬 <레베카>를 본 적 있는 내게는 개인적으로 아쉬운 부분이기도 하다. 뮤지컬 <레베카>의 경우에는 댄버스가 집에 불을 지르는 행위가 ‘나만의 레베카’조차도 실은 부재했다는 것을 자각함으로써 비롯되는 것에 반해, 이번 영화에서는 그보다는 둘 사이의 공고한 연대가 더 두드러져 보였달까. 나만의 레베카와의 추억이 ‘가득한 줄만’ 알았던 집을 태우는 것과, 나만의 레베카와 추억이 ‘가득한’ 집을 태우는 건 다르니 말이다.)

개인적으로는 댄버스에겐 조금 잔인한 결말일지 몰라도 레베카가 그의 손에서까지 또 한번 미끄러지길 바랐다. 댄버스가 느낀 배신감과 상실감만큼이나 레베카는 누구도 쉬이 포착할 수 없는 살아있는 이름이 되는 것이니. 하지만 이러한 레베카와 댄버스의 관계가 감독이 추구하고자 하는 메시지에 부합하는 각색이었음은 분명하다.

2. 댄버스
레베카를 향한 댄버스의 태도를 사랑이 아니라 할 수 있을까. 다소 뒤틀리고 기이하긴 해도 죽은 이를 놓지 못해 끝내 그곳을 ‘레베카의 집’으로 만들어 버린 그 마음은 사랑이 아닐 수 없다. 맨덜리 하우스를 완벽하게 통제하는 엄격한 집사, ‘나’를 옭죄어 오는 잔인한 댄버스의 모습은 레베카 앞에서만큼은 사라진다.

레베카가 상징 질서를 조롱하며 그 너머의 영역에서 유희했듯, 댄버스 역시 그 질서의 틈바구니에서 허락되지 않은 사랑을 한다. 평생을 나만의 레베카를 위해 살아온 댄버스는 끝까지 그를 위해 맨덜리 저택을 태우고 죽음으로 생을 마무리한다.

아버지의 성(姓)을 따라 내려오던 저택의 붕괴는 곧 공고한 가부장제의 붕괴와 같다. 맥심은 생전 레베카의 실체를 알면서도 가문의 명예를 위해 아무런 조치를 할 수 없었다고 말한다. 그가 목숨을 걸고 지켜오던 ‘드 윈터’는 결국 불타 없어지고마는 건물에 불과하다. 그 허상을 무너뜨리고 붕괴시킨 건 (어떤 의미로든) 여성-연대 내지는 여성-로맨스다.

3. ‘나’
마지막으로 남은 ‘나’. 이 영화에서 동류로 묶일 수 있는 레베카와 댄버스와는 다르게, ‘나’는 이들과는 사뭇 다른 모습을 보이는 듯하다. ‘나’는 댄버스의 가스라이팅에 마구 휘둘리는 피해자이기도 하고, 레베카/댄버스와 대항하여 맥심의 편에서 사건을 은폐하는 듯 보이기도 하니까.

그러나 ‘나’ 역시도 주목해야 하는 또 다른 여인의 초상임엔 틀림없다. 맥심은 영화 말미에서, 레베카가 내가 사랑했던 해맑고 어리고 서툴던 당신의 모습을 앗아갔다며 슬퍼한다. “You are not that person anymore.” 소녀같이 천진무구하고 성녀같이 맑은 아내를 원하는 맥심의 마음이 단적으로 드러나는 대목이다. 그러나 ‘나’는 맥심에게 이렇게 답한다. “Don’t hate her for that.” 한국어 번역이 꽤 마음에 들었는데, “꼭 나쁜 것만은 아니야.”

댄버스의 손아귀에서 마냥 당하기만 하던 미숙하고 나약한 ‘나’는 더 이상 없다. 내게 소중한 사랑을 쟁취하고야 마는 강인한 여성, 불타버린 가부장의 집을 뒤로 하고 나와 우리 모두를 환영하는 집을 찾아 방방곡곡을 여행하는 여성, 잃은 것에 슬퍼하지 않고 지켜낸 것에 기쁨을 느끼는 여성의 얼굴이 여기 있다. 레베카와 댄버스가 떠난 생 위에서 삶을 이어가야 하는 새로운 여성의 얼굴이."
2.5,"어째 원작이 더 궁금해지는 영화.. 라고 생각했는데
왓챠에 떠버렸다!
-
릴리 제임스가 평소 로코와는 다른 진중한 역할이었는데 조금은 아쉬움이..."
3.5,"무색, 무취"
2.5,드 윈터 부인의 주마간산. 변죽만 울리는 수많은 설정들.
4.0,"뮤지컬로만 접한 레베카. 영화로 봐도 재밌었다. 다시 뮤지컬이 보고싶다 / 2차 관람. 알프레드 히치콕의 원작과 비교하니 재밌다
- 201030 N / 220423 N DD"
3.0,포인트가 둘의 러브스토리는 아닐터인데 엣헴...
2.0,"원작소설이나 히치콕의 영화는 못본터라 이 영화만 놓고 보자면 영 미적지근한 느낌
스릴러나 미스터리로써 뭔가 제대로 보여주질 못했음
나중에 히치콕 버전이나 봐야지"
3.0,크리스틴 스콧 토머스가 댄버스 부인이라는 것만으로도 너무 기대가 됐었는데... 너무 기대를 했나
2.5,화려한 색을 입었으나 흑백을 이기지 못했구려.
2.5,"무난한 리메이크작, 현대적인 미장센은 발전하되 예전만큼의 서스펜스는 발휘하지 못한다"
3.5,"중반부가 좀더 쫀쫀하고 빠르게 흘렀으면 어땠을까. 사실 꽤 익숙한 미스테리방식(대저택의 비밀,전주인의 죽음)이다보니 긴장감을 조성하느라 선택한 템포가 늘어지는 걸로 느껴졌다.댄버스 부인도 생각보다 안 무서움.

결말 맘에 든다.
'성난군중으로부터 멀리'에서 캐리 멀리건이 고운 소리로 부르던 그 노래가 자꾸 나왔다. 괜찮았음. 옛날 노래일텐데."
2.0,"'레베카'는 1938년 출간된 다프네 뒤 모리에의 매력적인 고딕 소설을 원작으로 한다. 벤 휘틀리 감독이 메가폰을 잡아 레베카의 숨결이 곳곳에 남아있는 맨덜리 저택에 대한 활용도 떨어지고 등장인물들의 어두운 심리도 모호하고 흐랏하다. 벤 휘틀리 감독은 비밀과 질투, 헤어나올 수 없는 과거를 보여주는 고딕 소설을 보다 현대적인 방식으로 그려내며 캐릭터에 입체감과 깊이를 더할 수 있는 소중한 기회를 이렇게 밋밋하게 흘려보낸다."
3.5,"원작을 몰라서 그런지 충분히 재미있었다
다만 해결과정이 좀 더 자세하고 길었으면 더 나았을걸"
3.5,히치콕의 원작을 봐야 찜찜하고 애매모호한 느낌이 해소 될 것 같다
1.5,특유의 스산함이 사라지고 부산함만 남은 레베카.
3.0,"미스테리였는데, 좀 싱거웠던...."
3.0,"히치콕의 레베카를
먼저 볼 걸...
.
아무리 아미 해머, 릴리 제임스라도..."
3.0,흑백에서 색감만 더한 리메이크
3.0,평을 읽던 나 : 알겠어요.. 히치콕 거 볼게요..
3.0,히치콕의 레베카를 모르는 나는 나쁘지 않았다. 뒷심이 더 받쳐줬으면 좋았을텐데.
3.0,피지컬 죽이네 ㅋ
2.0,책을 따라간 것도 영화를 따라간 것도 아닌 애매함
3.0,스포일러가 있어요!! 보기
1.0,"올해
상반기에는 뮤지컬 레베카를
하반게에는 영화 레베카를 보게되네요

""어젯밤 난 꿈속에서
맨덜리로 돌아갔다.
그곳엔 댄버스 부인과
레베카가 있었다.""

영화도 뮤지컬 처럼 꿈으로 시작해요.
하지만... 많은점이 뮤지컬 레베카와 다르네요.

등장인물과 내용은 뮤지컬과 똑같아요!
약간 뮤지컬과는 다르지만요.

(잭 파벨과 주인공과 처음 만나는 장면이나 막심의 누나의 첫 등장 부분과 잭 파벨과 댄버스 부인의 사이라든지)

특히 댄버스 부인이 뮤지컬에서는 존재감이 크고 소름 돋는 연기로 관객들을 사로잡았는데
영화에서는 많이 부족하네요. 특히 카리스마가 사라지고 광기와 소름이 사라져버린...

히치콕의 레베카에서 중요한건 서스펜스와 광기, 스산함인데 그런게 싹다 사라지고 로맨스 밖에 안남은..

제일 아쉬운 부분은... 댄버스 부인과 나의 관계와 마지막 맨덜리의 모습..

많은점에서 아쉽고 부족했던 영화였네요 ㅠㅠ

결론은 뮤지컬 레베카가 100배, 1000배 더 잼따는것!!!"
3.0,"아미 해머의 헛짓거리들을 모르고 봤을 때라...남주에 대한 기대감이 엄청 있었다...
영화자체가 로렌스 올리비에 작품보다 분위기, 연기 면에서 모두 밀리는 건 어쩔 수 없는 느낌이다.

크리스틴 스콧 토마스는 이제 못된 시어머니, 집사 등등 역할이 고정되어버린 느낌....
잉글리쉬 페이션트 때의 그 고혹적인 배우를 이렇게만 쓰니..참으로 안타까운 일이다...

2020.10.25"
3.0,"왜 매력있는 배우 두명을 데리고
매력없는 배역으로 만들어버렸을까
역시 레베카 주인공은 미스 덴버스인건가?
-
21.01.22
@COH netflix w.사탕"
2.5,"굳이 원작 소설이나 히치콕의 1940년작과 비교 않더라도, <레베카>(2020)는 어느 쪽으로도 그 방향성이 모호한 리메이크다. (여러 해외 매체에서는 이 영화가 그 존재 이유를 입증하지 못한다며 혹평하기도 했다) 맨덜리 저택에 들어선 이후 잘 나가는 듯 보이던 서스펜스는 주인공 '나'(릴리 제임스)의 탐정 수사극처럼 변모하는가 싶더니 이내 로맨스로 향하고, 이 변화를 호의적으로 보기에는 초반 '나'와 '맥심'(아미 해머)의 관계 진전이 다소 급진적이다. 설득력이 없는 게 아니라 감정을 쌓아갈 시간이 너무 부족했다는 뜻이다. 한편 뮤지컬 관객들 사이에서 '진짜 주인공'으로 손꼽히는 '댄버스'(크리스틴 스콧 토머스) 역시 좋은 연기에도 불구하고 그 카리스마가 빛을 발하지 못한다. 가면무도회처럼 현대적으로 신경 쓴 몇몇 좋은 장면들도 눈에 들어오지만 부분적으로만 시선을 잡아 끌 뿐, 이 밋밋함의 원인은 어디서 찾아야 할까.

문제는 극을 이끌어가는 '나'와 '맥심'의 캐릭터 자체에서 느껴진다. 우선 아미 해머의 연기는 내내 어딘가 경직되어 있다는 인상을 주는데, '나'를 향한 '맥심'의 태도는 '레베카'의 영향을 고려하더라도 중반까지 불분명하다. 감정을 전달하기보다 그 의중을 암시만 하는 듯 보인다. 맨덜리 저택의 모든 것에 짓눌려 있는 '나' 역시 종종 그 태도를 짐작하기 어려운 모습을 보이는데, 이쪽은 릴리 제임스의 연기 문제가 아니라 각본 자체의 난점에 가깝다. 가령 '잭 파벨'과 말을 타는 장면은 불필요하게 길고, 보트하우스에 사는 '벨' 역시 실질적으로 별 다른 역할을 하지 않는 데도 카메라가 그를 공들여 포착한다. (여담: 이 저택의 개는 왜 두 마리일까? 한 마리는 전혀 비중이 없다.)

각색의 방향은 전반적으로 '나'의 주인공으로서의 역할을 부각하는 쪽으로 맞춰져 있는데, 이것 역시 결과적으로 영화에 한 번도 등장하지 않는 '레베카'의 존재감을 상대적으로 퇴색시킨다. 서사를 이끌고 감정을 주도하는 주인공의 역할이 불필요한 것이 아니라, 이것이 기존 <레베카>(1940)의 장점을 퇴색시키는 쪽으로 귀결된다. 그 결과 맨덜리 저택 내부는 충실하게 구현되어 있음에도 화려한 미술과 분장, 의상 등이 그 진가를 발하지 못하고, 오히려 본격적인 무대가 펼쳐지기 전인 프랑스 남부의 오프닝이 더 기억에 남는다.

넷플릭스 오리지널 작품 중에는 좋은 안목과 뛰어난 협업으로 탄생한 멋진 결과물이 많다. 그중에는 고전이나 유명 프랜차이즈를 활용한 경우도 있다. 우리는 <스타 이즈 본>(2018)이나 <작은 아씨들>(2019)처럼 근사한 리메이크 사례를 알고 있으므로, 리메이크 영화의 목적이 모두 상업성이나 추억팔이에만 있는 것은 아니다. 아쉽게도, <레베카>는 이쪽에 포함시키긴 어려울 것 같다."
3.5,"화려하고 재미있는 영화다.
TV와 Netflix에 딱이다.

그러나 히치콕 감독의 숨막히는 서스펜스와
댄버스 부인의 강렬한 포스는 없었다.

https://blog.naver.com/mintcine/222159652166"
3.0,사랑이 면죄부였던가요
0.5,"이미 많은 사람들이 내용을 알고 있는 상황에서 어떻게 흥미롭게 가져갈지 기대했지만, 1940년 작에서 특별해진게 없다. 기승전결 없이 오히려 군살을 더 붙혀 지루해졌다."
1.0,"채도가 높은 영상미에 맥심의 노란 수트가 한몫.
영화는 그외 예쁜 구색이 없다."
2.5,과거의 그림자에 힘겨워하는건 주인공이나 영화 자체나 매한가지
3.0,"생각보다 영상미를 잘 표현했지만  뮤지컬 레베카를 먼저 본 나로써는 옥댄버의 강렬함을 잊을 수 없다
.
1940년작 히치콕 감독의 레베카를 리메이크 했기 때문에 작품 내용을 모르는 사람 입장에서는 내용자체가 밋밋할 수 밖에 없다."
3.0,"천재의 명성과 탈은 쓴 것이 작품에게 행운인지, 저주인지. 마치 영화 속 그녀처럼."
4.0,"톡 건드리면 우수수 떨어질 것 같은 불안함, 사랑에 모든 것을 내걸은 자의 간절함과 처연함이 너무도 잘 드러난 그녀의 연기. 그런데 레베카 말고, 그녀의 이름이 무어였더라?"
1.0,"영상미만 좋음...
뭔가 비장한 느낌만 잔뜩주고는 아무것도 없었다
연출이 부족한건지 연기력이 부족한건지 모르겠음
지루하고 재미없고 이게뭐야? 하기만 함"
2.0,"대프니 듀 모리에의 소설 레베카를 원작으로 이미 큰 성공을 거둔 히치콕의 레베카와 뮤지컬 레베카의 내용이 이미 머릿속에 가득해서인지는 몰라도 ""레베카 답지 않다.""는 생각이 떠나지 않는다.
등장하지도 않는 레베카가 타이틀인데는 그만한 존재감이 작품 전체를 드리우고 있어서인데, 돌연 모든 사람이 레베카를 외치는 장면에서 조차 그의 존재감이 묻어나지 않는다. 원작 레베카를 변형하여 현대적인 느낌으로 여성의 자주성을 드 윈터 부인에게 투영하여 마치 성장스토리 마냥 (속된 말로 흑화하는 모습을) 보여주고 싶었던 것도 같지만 그것에 초점을 두자하니 또 많은 부분이 아쉽다.
레베카의 꽃이라 칭할법한 댄버부인의 장악력과 음산함도 원작들에 비할 바가 안되니 이쯤되면 원작과 비교하지 않는 편이 좋지 싶다.

비교가 무슨 의미겠느냐만 <레베카>에 완전히 무지한 나로 관람한다고 해도 원작의 손을 들지 않을까하는 생각이 든다."
2.5,"원작의 재해석이 어렵다는 사실을 최선을 다해서 보여준다. (그것이 소설이든, 히치콕의 영화이든.)
-
괜찮은 부분은 파편적으로 존재할 뿐, 덜컥거리고 늘어지는 전개를 바탕으로 연기 외적으로 힘들고 지친 배우의 모습이 보인다.
-
친애하는 ‘워킹 타이틀’이라... 더 아쉽다."
2.0,레베카 없는 레베카
4.5,어젯밤 난 꿈속에서 맨덜리로 돌아갔다.
보고싶어요,"워킹타이틀 X 넷플릭스, 릴리 제임스 X 아미 해머, 기대를 안 하는 게 더 이상하다"
2.5,"맨덜리 주인분 왜 노란 수트만 입어요 부자잖아 옷 좀 다려줘,,, 디테일,, ㅠ"
3.5,"제목이 레베카인데 레베카가 없어…
히치콕 건 영화에 레베카의 존재감이 무서웠는데.."
3.0,"초중반만 해도 긴장감도 느껴지고 뭐가 있는건가 궁금하고 기대되고 스릴있었는데 살짝 허무했고 뒤가 급하게 마무리되는거 같아서 아쉬웠다.
22.08.26"
4.0,"화면과 색이나 의상은 예쁘다.
남편은 드윈터부인의 모든 행동을 짜증나했다."
2.0,거울이 비로소 자신의 모습을 온전히 비춰준다.
0.5,여주 데이트룩이 제일 재밌었다
2.5,스포일러가 있어요!! 보기
3.0,걸작을 누구나 만들 수 있는 게 아니다. 설혹 걸작을 베끼더라도...
2.5,그냥 릴리 제임스가 좋다... 무슨 말이 필요하리...
2.0,맥빠지는 스릴러
3.0,소문난 잔칫집에 먹을 거 없다.
0.5,댄버스 부인 캐스팅 대박
