평점,리뷰
3.5,"할리퀸 솔로 무비도 내줘요. 토드 필립스와 레이디 가가가 그려낼 할리퀸 이야기 너무 궁금해, 얼마든 기다릴 테니 플리즈."
3.5,스포일러가 있어요!! 보기
4.5,"사람들이 원하는 이야기가 아니었다는 것만으로도 조커 서사의 완성. 엔터테인먼트와 폭동의 아이콘으로 소비되는 게 아니라 그저 맘껏 춤추고 소통하고 사랑하며, 또 받고 싶었던 한 개인의 소망을 노래하는 아서

한때는 조커란 혼돈의 상징이 있기전에 아서 플렉이라는 개인이 있었다는 걸 고백하며 인간은 어떻게 최악의 상황에서도 존엄성을 지킬 수 있는가에 대한 생각할 거리를 주는 깊은 탐구로 가득차있는 흥겹고 또 서글픈 보고서.

“너만은 나를 보고 비웃지 않아줬었는데..”
""그런데 도대체 왜 그래. 넌 나를 무섭게 하고 있어”
”너 원래 이런 사람 아니잖아“

”원래 내가 아니라고?“
”어쩌면 어쩌면 진짜 내가 어떤 사람인지 너가 몰랐던 걸 수도 있지“

*유일하게 서로의 아픔을 공유하고 인정했던
친구를 본 순간 녹아 내려버린 가면, 그리고 발견한
존재했던 이젠 돌아갈 수 없는 내 진짜 얼굴, 이름

I'm not Entertainment

*조커와 헤어져야 하는 걸 알면서도
유일하게 자신을 의미 있는 삶으로 이끌어주었던 가면이기에 쉽게 내려놓을 수 없는 딜레마와 슬픔을 잘 담았다

현대인들은 모두 각자의 가면을 쓰며 살아간다는데 당신들의 가면 안에는 어떤 모습이 존재할까, 남아있는 무언가가 있긴 할까

그 가면을 버려야 할 때가 오면 기꺼이 또 미련없이 버릴 수 있을까

*할리를 욕할 수 있다고?
한 번이라도 소외된 이들에게 관심을 주고
손길 한번 뻗은 적 있는 사람이 얼마나 될까

모든 건 처음부터 다 즐거움을 위한 거였잖아
안그래? 과연 아니라고 말할 수 있겠어?

*나와 내 그림자
사랑하는 나의 슬픈 그림자, 나의 가면
나의 유일한 친구, 나를 인식해준 유일한 연인
나의 조커..  어딘가 숨어 울고 있을것만 같은
나의 그림자

*자기 자신 하나도 만족스러운 삶으로 이끌지 못하는게 인간인데
어찌 다른이에게 영감과 귀감을 주는 사람이 될 수 있단 말인가

*뮤지컬 시퀀스 전체가 감독이 조커라는 비운의 캐릭터에게 내리는 선물이라고 생각했다
그런데 그 상상들마저 점점 현실을 닮아가
둘을 구분하지 못하게 되는 과정이 슬프게 다가왔다
상상속에서도 그는 평화를 느끼지 못했다
자유란 없었다

*평생 가진 적 없던 걸 잠시나마 가졌다가
다시 도로 빼앗기는 거, 그렇게 1편에서의 벌을 받았다. 남들한테는 너무 적은 형이라고 손가락 질 받을지 몰라도 아서에게는 가장 무거운 징벌이었겠지. 이제 고통조차 느끼지 못하게 됐으니

*법정에서 교도소로 돌아가는 짧은 순간에
그는 일탈을 또 자유를 잠시나마 느꼈다
극장에서의 그 짧은 경쾌함을 잊지 못할 거 같다
dancing in the monnight
---------------------------------------------
*엔터테인먼트(오락거리)와 상징은 애초에 관심사가 아니였거든, 조커는 그저 세상에서 관심 받을 수 있고 조롱 당하지 않을 유일한 수단이었기에 쓴 가면 껍데기였을 뿐 내 피부는 여전히 아서플렉의 것이고, 많은 이들을 웃기는 걸 사랑하고 그걸 보며 또 행복을 느끼는 사람이거든

내 삶은 나의 것이지
다른 누군가를 위한 것이 아니란다

지금은 그렇지 못하지만
너무 멀리 와버렸지만
한때는 누구나처럼 행복할 자격이 있는 사람이었어. 그것을 위해 오늘 노래하자
상상 속에서라도 무대 속에서 맘껏 뛰놀고
춤추고 사랑하며 행복을 느끼자

“상상 속에선 무엇이든 가능하니까.”
“그러면 내 삶도 엔터테인먼트라고 느껴질지도 모르겠다”
---------------------------------------------
결국 이 영화는 관객들에게 묻습니다
이 캐릭터를 조커로 기억하고 싶은지
아니면 이서로 기억하고 싶은지요

아서를 선택하든 조커를 선택하든
그게 인생이라는 희극
아니 비극에 도달하는 건 매한가지 아니냐..
저는 이렇게 조커라는 영화 두 편을 기억하게 될 것 같습니다
-유투버 기묘한케이지님 <조커: 폴리 아 되> 리뷰中

*결국 속죄를 하고 악의 껍데기를 벗겨낸다 할지라도
그렇게 누구에게도 관심 받지 못하는 이로 돌아간다 할지라도 달라지는 건 없을지도 모른다

결국 모든 건 다 여기로 흘러가기로 정해져있던 거 아닐까 라는 무력감이 영화가 끝나고 몰려온다
---------------------------------------------
시간이 조금 지난 후에도
기분이 전혀 나아지지 않는다면
기꺼이 제 자신을 위해 몸을 이끌고
가까운 빌딩으로 가 꼭대기까지 올라간 다음
허공으로 몸을 던지겠어요
심연에 빠진다는게 어떤 건지 궁금해하는
사람들에게 가르침을 줄 수 있을 테니까요

휘청이눈 마음을 안고 교회에 남겨진 날
“어머 세상에,“ 사람들이 우리를 보며 수군거렸죠
”혼자선 일어나지도 못하네“
더는 여기 남아있을 이유가 없으니
그냥 집에 가기로했어요
결국 나 혼자 떠났지만요
다시금 혼자네요, 당연하게도

어제까지만 해도 저라는 사람은 밝고, 맑고, 웃음으로 가득했죠 누군들 다가올 미래를 꿈꾸지 않겠어요
앞으로 어떤 사람이 될지 설레잖아요
그러나 절 무너뜨리려는 건지
현실은 제 곁으로 다가와
털끝 하나 건드리지 않고서 너무나도 쉽게
제 가슴을 한없이 찢어놓고선
불안 속에 절 가두고 떠났죠

하나님의 자비라는 것이 있다는데
만약 그분이 정말 계신다면
왜 절 버려두신 걸까요
도움이 절실한 시간 속 슬픔 속에 갇힌 채로
다시금 혼자네요, 당연하게도

제 눈에 비친 이 세상은
멍들고 부서진 마음으로 가득한 것 같아요
고쳐질 수도 없고 들여다보는 이 하나 없는
이러한 슬픔 속 우리는 어찌해야 하나요
다시금 혼자네요, 당연하게도

지나온 세월을 되돌아보아요
아버지가 돌아가시던 날 목놓아 울었었죠
떨어지는 눈물을 숨기려고도 안 했어요
어머니가 예순다섯이 되시던 해
하느님은 어머니를 데려가셨죠

어머니께서 한평생 사랑하셨던 유일한 남자를
그리도 빨리 데려가셔야만 했나요
남겨진 어머니는 멍든 가슴을 부여잡고 사셔야 했죠
어머니를 위한 제 말들은 끝내
어머니의 가슴에 닿지 못했어요

그리고 어머니가 돌아가신 날
저는 울고 또 울었답니다
다시금 혼자네요, 당연하게도
다시금 혼자네요, 애석하게도

-Gilbert O'Sullivan/ Alone Again (naturally) 가사中-
---------------------------------------------
*당신들은 한 사람이 망가지고, 대학살과 폭동의 상징이 되는 걸 그렇게도 보고 싶었나
조커이기 이전에 짙은 분장 안에는 눈물을 흘리는 사내가 있었고
그 사람 안에는 그저 남들처럼 평범하고픈,
남을 웃기는 걸 사랑해 코미디언이 되고픈 한 개인이 있었다

이제 와서 속죄를 한다 할지라도
속죄할 자기 육신마저 다 사라진 이후인지라 그 대상마저 없어져 버렸다

이제 세상에 내가 존재할 이유가 없으니
그렇게 사라져야지
먼지가 되어 날아가야지
바람에 날려 당신 곁으로,
너와 나 처음 만나 음악도 신나
우리를 축복해 주던 그때로 돌아가야지

내가 사라지고 나서 세상이 기억해 주지 못한다 할지라도
세상이 나를 어떤 방식으로 기억하던지
난 이제 신경 쓰지 않아
좌절하지 않아

“왜냐면 오래되고 멋진 이 세상은 계속 돌고 도니까”

“삶이란 그런 거지”
“정말이야, 부정할 순 없지”
---------------------------------------------
*한때는 사람들이 이야기하듯이
4월네는 높이 올라갔다가
5월에는 추락해버리더라도
내가 그 흐름를 바꿀 수 있다는 걸 알았었는데..

6월엔 다시 가장 높은 곳에 다다를 거라 다짐했었는데
그게 인생의 재밌는 점이라고
그게 인생이라고 믿은 적이 존재했었는데

매번 바닥에 얼굴을 갖다 박고 있더라고
스스로 일어나 다시 레이스에 뛰어들 나란 걸
믿어 의심지 않았었는데

삶이란 그런 거라고
부정할 수 없는 삶의 진짜 모습이 그런 거라고
매번 노래하곤 했었는데

그만 두는 것도 생각해봤지만,
내 심장은 그걸 용납하지 않았었는데
만약 내가 한 번 시도할 가치가 없다 생각했다면
바로 큰 새에 점프해 날아갔을 정도로
패기가 있는 당찬 놈이였는데..

그래, 그만둘까도 많이 생각해 보았지만
내 심장이 허락하질 않네
그런데 이번 7월에 아무런 가슴뛰는 일이 생기지 않는다면 난 큰 공안에 내 몸을 둥글게 말아넣고 죽을 지도 몰라.

(That's life/ Frank Sinatra /가사 中)
---------------------------------------------
*이래도 뭐라 하고 저래도 뭐라 하는데
나보고 어떡하라는 걸까
세상이 원하는 광대가 되어 맘껏 장단에 맞춘다 하여도
그 안에 나 자신을 바라보는 건 아무도 없는데

이젠 나조차도 내가 누구인지, 또 누구였는지
갈피조차 안 잡히듯 하다

*What the world needs now is love

”온 세상이 바로 무대, 남자도 여자도 모두가 배우에 지나지 않지“
(All the world's a stage, And all the men and women merely players.)
-윌리엄 셰익스피어 5대 희극 중 하나인
As you like it에 나온 구절-

#당신이라면 하고 싶은 걸 뭐든지 할 수 있어
조커니까. 아니 아서플렉이니까

#할리퀸의 사랑이 잘못된 것이라고 마냥 손가락질 할 수 있나, 오롯이 그 껍데기 안에 있는 사람을 사랑할 수 있는게 가능한 일일까 나또한 그래온 적이 있나 생각해보게 한다

#19년 10월에 느꼈던 그 충격이 다시 내게로
---------------------------------------------
*That's Entertainment!
주디 갈랜드의 노래가 쓰였다는 점에서
영화가 더욱 확장되는 듯 하다

*“왜 뮤지컬과 정극을 나누려하지?“

전작이 바닥에서 출발해 상승해서 조커가 되는 스토리라면, 본작은 거꾸로 조커라는 정상에서 바닥으로 처박히는 스토리로, 완벽한 산 모양 곡선을 이룬 피카레스크 영화

*무엇보다 이 모든 음악, 캐릭터, 이야기가 살아 숨쉬는 생동감 넘치는 영화 영화 영화! (映畫/motion picture)

Gonna build a mountain
산을 쌓고 백일몽을 꾸리라
---------------------------------------------
나는 단지 지친 몸의 순례자랍니다
이 죄 많은 세상에서 터덜대고 있지요
천국갈 준비가 되었지요
“성자들이 행진할때”

성자들이 행진할때
성자들이 행진할때
오 주여 저도 그 숫자안에 들어가고 싶어요
”성자들이 행진할때“

“성자들이 행진할때”
오 주여 저도 그 기쁨에 들어가고 싶어요"
3.5,"드디어 입밖으로 튀어나온 아서의 마음의 소리
“노래 좀 그만해..”"
3.0,노래좀 그만해
3.0,개그맨 지망생이던 내가 레이디 가가의 남자친구가 된 건에 대하여.
3.5,'조커 1'은 그냥 '조커'로 남기고 싶다.
3.5,"혼자가 아닌 줄만 알았는데 다시 혼자가 된 느낌이 배에 난 상처보다, 총알에 두개골이 박살나는 것보다 더 잔인하다..."
2.5,"아서 : 진정한 딴따라가 되
#조금은 빛바랜 붉은 그림자
#용산CGV IMAX LASER 2D"
3.5,뭐여 시벌 이렇게 끝내면 어떡해.. 레이디가가도 멋있고 호아킨피닉스도 멋있는데 이야기가 더럽게 재미없네.. 노래도 좋은데 뮤지컬 영화랍시고 노래로 떡칠 좀 하지마라 지루해 뒤지겠네.. 주인공이 직접 노래 좀 그만부르고 말로하라는 대사치는 영화는 처음본다 ㅋㅋㅋㅋ 노렸냐?? 영화에서 친거중에 제일 재밌는 조크같다 ㅋㅋㅋ 다른건 다 별로였어
2.5,악기(樂器)가 된 악기(惡器). 광기와 성찰의 능선에 올라타 모든 비극들을 위한 노래와 춤을 선보이다.
3.5,".. 결국 나오네. 와킨 피닉스 연기로 내 마음을 혼란스럽게 하고, 망상 장애를 핑계삼아 또 어떻게 돈벌이를 할까. 속편인 만큼 토드 필립스와 DC측에서 내 비관적 예측을 완전히 박살내주길 바란다."
3.5,"장르적 야심을 가질거 였으면, 장르적 재미도 챙겨갔어야죠.

추락은 아서 플렉만의 것이 아니다.
아마 이렇게 불호평을 남기는 나를 보고도 ‘그게 바로 이 영화의 의돈데? 니가 바라는, 원했던 아서 플렉과 조커의 현실이 바로 이건데?‘ 하는 듯한 가르치는 태도가 영화 전체에 깔려있다.
라스트 오브 어스 2 세요?"
3.5,"노래 절반만 줄였어도 호평 받았을것 난 재밌었음 조커가 아닌 아서의 이야기

난 1편을 만점을 줄 정도로 잼게 봄 평점을 보니 나락가서 최대한 기대 안 하고 봤더니 재밌었음 아쉬운건 당연하고

뒤에앉은 사람들은 후반부 몰입되고 진지한 장면에서 갑자기 노래 나오면 한숨소리 계속 들렸음"
4.0,결국 상징이 아닌 외로운 한 인간의 이야기.
3.5,"""저는 저를 버렸습니다"""
2.5,토드 필립스는 단순히 (망상) 조커의 잔혹함을 다시 보여준다긴 보다는 조커라는 상징을 이용해먹는 사람들에게 고통받는 (현실) 한 인간의 아서 플렉을 보여주는게 아닐까 싶다.
4.0,"환상에 빠진 사람들은 본인들의 우상이 현실을 살아가는 걸 허락하지 않는다.

+ <조커 1>이 <택시 드라이버> + <코미디의 왕>이라면, <조커 2>는 <백치들> + <어둠 속의 댄서> 느낌."
4.5,"분장도 노래도 심연의 악취를 지울 수 없다.
사랑조차 거짓과 망상으로 혼재되어 흉내낼 수 없는 비린내를 풍기니 피를 쏟는다 한들 달라질 게 있나. (스포일러)
ㆍ
ㆍ
ㆍ
극단주의자들의 지지,
할리의 접근,
어머니의 거짓말.

아서를 제물삼는 제각기의 목적들이 공감의 외피를 두르고 끊임없이 그를 절망의 구렁텅이로 부추긴다.

그렇게 비루한 운명을 따라 조커(웃음거리) 그 자체가 되어버린 그는 울부짖듯 자신의 삶을 노래해야하는 지경에 이른다.

멸시와 치욕, 거짓과 망상으로 점철된 삶 위에서
농담을 구사하고 사랑을 노래해봤자
피를 토하며 산화할 육신만 더 처량해질텐데.

온갖 쓰레기가 뒤엉킨 시궁창 속에서
결코 체감할 수 없었던 진실된 사랑.

행복이 쌓인 적 없는 삶 위에
고작 그가 쌓을 수 있는 산은
평생을 쌓여온 고통으로 반죽돼
끈적한 핏물만 흘러내리는 죽음의 산 뿐.

망상이 자아가 될 수 밖에 없는 더러운 운명 속에서
초라한 인격체 하나가
비린내 풍기며 쓸쓸히 죽음을 맞는다."
3.0,"춤추고 노래하지 못하는 아서 플렉은 철저히 버림받고, 세상은 노래하고 춤추는 조커만 사랑했다."
3.0,이야기를 보면 처연하고 계급을 보면 섬뜩하다
0.5,셰이프 오브 조커.
2.5,"Good : 속죄를 노래하는 참회록
Caution : 가가의 재능을 낭비한 죄
https://blog.naver.com/teruloved/223598563830"
4.0,"누누이 가장 좋아하는 배우 중 한 명이 '호아킨 피닉스'라고 말하고 다녔다. 정확하게는 '토드 필립스'가 만들어 낸 <조커> 이후부터 그렇게 말하고 다녔고, 그 뒤로도 호아킨 피닉스가 나오는 작품들은 다 영화관에서 챙겨봤다. - 어차피 그게 아니더라도 볼 수 있는 영화는 다 보고 다니긴 했지만..

관람 전에 불길한 요소가 쪼금 있긴 했지만 감독과 주연 배우의 조합을 믿기에 크게 의심하진 않았다. 저 둘이 다시 만나는데 '작품을 일부러 망치려고 작정하지 않는 이상' 어떻게 저 조합이 망할 수 있겠는가? 라고 생각했었기에..

실상 관람을 하니까..  솔직한 심정으로는 엿 같다. 기대가 큰 것도 있었지만 '난해하다'의 영역이 아니라 '난잡하다'

애초에 2편이 나온다고 했을 때부터 불안하긴 했다. <토이스토리 5편>이 곧 나오는 마당에 돈 벌려면 무슨 이유를 못 갖다 대겠냐마는..  그래도 상도를 떠나서 2편이 나온다는 게 납득이 되지 않았다. 전편을 본 사람이라면, 결말을 알고 있는 사람이라면 이 작품이 속편이 나온다는 게 솔직히 이해가 안 될 만큼 '작품 한 편만으로' 깔끔한 마무리와 여운을 남긴 명작이었는데 그 명작에서 어거지로 스토리를 이어나가는데다가 '걱정했던 장르'를 추구해버리니까 결과물이 이렇게 되어버렸다.

영화의 오프닝을 비롯한 도입부는 센스 있고 좋았다. 영화 오프닝부터 이렇게 시작하니 '무언가를 보여줄 것이다'라는 기대감으로 시작해서 전작의 그 묘했던 작품의 분위기를 이어가는 몰입감 역시 좋았고..

문제는 역시나 관람 전에 들었던 '또 다른 장르'가 사실이라는 것을 알게 되는 첫 노래 부분부터 시작해서.. 러닝 타임 1시간쯤이 되었을 때 두 주연이 [사랑보다 깊은 상처] 듀엣으로 부르는 구간부터 작품이 산으로 가기 시작한다.

실제로 여기부터 슬슬 몰입도가 무너지니까 제일 짜증 나는 화장실 간다고 산만하게 구는 관객들, 기지개 켠다고 워치 이용해서 반딧불이로 변신하는 관객들이 여럿 보이기 시작한다. 아침 9시에 아이맥스로 예매했던 관객들이 작품 중간에 화장실을 간다는 것 자체가 몰입도가 뭉개지기 시작한다는 것이고, 나도 딱 저 부분부터는 슬슬 한숨이 나오기 시작했다.

""도대체 이게 뭐 하자는 내용일까?"" 감독이 다르거나, 주연 배우가 교체되었더라면 차라리 ""깜도 안 되는 감독, 배우가 명작에 손을 대서 망쳐버렸다""라고 적을 수 있는데 감독, 주연 배우가 똑같은데 작품의 결이 완전히 달라지니까 말하고 싶은 내용이 무엇인지 전달이 되지 않는다.

'레이디 가가'가 연기하는 [리,그리고 할리퀸] 캐릭터의 역할과 스토리 전개상에 드는 개연성에 대한 의문은 중후반부가 되면 풀리긴 하는데 정작 할리 퀸 부분을 영화에서 모두 잘라내어도 작품을 감상하는데 큰 부분을 차지하는 비중이 없다.

그냥 단순히 '뮤지컬 느낌 나는 영화'를 만들어내기 위해서 연기랑 노래, 인지도 다 되는 배우로 레이디 가가를 출연시켰을 뿐. 딱히 연기력이라던가 굳이 레이디 가가가 연기한 캐릭터만의 매력을 찾아볼 수가 없다.

가장 큰 문제는 작품의 난잡하고 산만한 스토리 전개인데, 중반부부터는 지루한 법정씬, 망상의 교차 전개, 뮤지컬 이게 반복되니 몰입도는 최저로 떨어지고 이상한 망상마저 들었다. '이거 혹시 외유내강 관계자가 원본 영상 빼돌려서 영상 조작한 것 아닌가?' 이런 말도 안 되는 망상이랑 감독이 본인의 명성과 작품을 이용해서 실험을 해보고 있다는 생각이 들었다.

'성공한 시리즈의 속편에서는 도대체 무슨 짓까지 해놔야 사람들은 실망을 할까? 어디까지 헛짓거리를 해도 평론가, 그리고 평론가 코스프레 하는 사람들이 의미 부여를 해줄까?'

나도 정말 영화를 많이 보지만 이 작품은 의미 부여를 할 만한 구간도 딱히 없고, 찾아보고 싶지도 않았다. 당연히 상업영화는 오락적인 재미를 느끼는 것이고, 독립-예술영화는 작품성에서 영화의 완성도, 영화적인 재미를 발견하는 것이 영화를 감상하는 재민데 감독이 만들어놓은 전작은 그 두 개가 완벽했다. 상업영화이자 작품성 모두 잡아버린 19년도 최고의 영화.

근데 이번 작품은 매끄럽지도 않은 부실한 전개에서 상업영화의 재미는 당연히 없고 (그 아이맥스관에서 화장실 가는 관객들을 12명까지 세아려봤다) 작품이 말하고자 하는 메시지의 깊이도 느껴지지 않을뿐더러, 예술적인 의미를 부여해 봤자 그냥 코에 걸면 코걸이, 귀에 걸면 귀걸이식으로 정신승리하는 부분 말고는 큰 의미가 없다. (뮤지컬 영화라고 생각해도 기억에 남는 노래가 하나도 없다)

이동진 평론가께서 간만에 언택트톡을 한다는 점에서부터 오락적인 재미는 이미 날아갔고, 토요일쯤부터 마치 삼라만상의 진리를 깨우친 것마냥 설쳐대는 관객들이 더 속출하겠지만 정말 단순하게 대중적인 작품의 재미도, 몰입도가 거의 없다.

감독 본인의 전작이 왜 성공했었는지, 관객들이 무엇에 열광했는지도 모르고 있는 상태에서 만들어진 '실험적인 작품'에 본인의 전작마저 부정하고 있다는 느낌까지 받았기에 전작을 정말 명작 중에 명작이라고 생각하는 한 사람으로서 실망감을 감출 수가 없다.

화장실을 가고 싶다면 가라.
자고 싶으면 자라.

어차피
당신이 보고 있는 그 장면,
당신이 봐야 할 그 장면들은 30분 뒤에 당신이 보고 있는 장면들이랑 아무런 상관이 없다.

CGV 대구
아이맥스 관람."
1.5,"악인들의 상징인 슈퍼스타(?) 빌런 조커는
사실은 그저 가면을 쓴 나약한 인간이었을 뿐.

감독이 전하고자 하는 메세지가 무엇인지 잘 알겠고
그에 very much 동의하는 바이나,
그래도 좀 더 재밌게 만들 수 있었자나..

내 별점과는 다르게 정작 내가 공감하는 평들이
모두 극호의 평인 것은 이 때문일 것

🃏🤡
이번에도 연기 찢었다
건강 잘 챙기셔요 피닉스씨
“노래 좀 그만 해..”"
2.5,"가장 완벽한 광대, 호아킨 피닉스."
3.0,조커에서 다시 아서 플렉으로?.. 변론의 여지없는 배신적 속편
3.5,스포일러가 있어요!! 보기
3.5,아무리 잘하는 감독이라도 감당이 안 될 거 같으면 거절하는 법도 좀 알고 그랬으면 좋겠어
3.0,"대중도, 관객도.
결국 아무도 '아서 플렉'에게는 관심이 없었다."
4.5,"왜 라는 질문은 좋으나, 어떻게라는 방법은 별로다."
3.5,스포일러가 있어요!! 보기
3.5,미친 사랑과 반성의 노래
3.0,"현실과 환상 사이에서 줄타기하는 광대의 춤사위
3.75/5점

사실상 1편과 다른 작품이다.

영화가 담고 있는 주제는 너무나 단순한데
처음에 나오는 애니메이션처럼 나(아서 플랙)와 그림자(조커, 할리퀸을 비롯한 각종 인물들) 사이에서 ‘죽어야지만 떨어질 수 있는’ 아니면 ‘떨어지면 죽게되는’ 불가분의 관계를 담아낸 영화라고 할 수 있겠다

뮤지컬이라는 요소에 많은 관객들이 호불호가 있을 수 있겠으나
토드 필립스 감독이 생각하는 조커는 환상 속 존재이며
그런 환상(Fantasy)과 현실(Real)을 가르는 영화적 장치가 뮤지컬의 음악 가사와 정적인 대사 였다는 점에서
영화를 본 대부분의 관객들이라면 뮤지컬이라는 요소는 크게 문제되는 요소가 아니라 할 수 있겠다.

결과적으로 이 영화는 억지로 전작과 연결하려는 대중 관객들에 기대와 정반대로 동작하는 작품이기에
아예 새로운 작품이라 생각하고 본다면 훌륭한 촬영기법에 감탄하며 즐길 수 있는 영화라 할 수 있으며

전작과 동일한 스타일의 돌림 노래를 기대한 관객에게는 큰 실망을 안겨주는 작품이라 할 수 있겠다."
3.5,스포일러가 있어요!! 보기
4.5,자기반성적 뮤지컬의 정점과 한계.
3.5,"'그러면 관객이 원했던 건 뭐였을까?'
<조커>를 돌아보며 비로소 홀로서기에 성공.
By screwing itself over, Joker finally stands on its own."
3.5,스포일러가 있어요!! 보기
3.0,"<조커>를 인생영화라 추앙했던 사람은 이 영화를 저주할 것 같다.
P.S. 1.43:1 화면비와 그렇지 않은 화면비 구성이 절묘한데, 매우 의도적이니 체크하면 좋은 관람이 될듯.
P.S.2 사랑은 역시, 자기객관화가 이뤄진 상황에서야 가능한 또 다른 환각"
보고싶어요,고담에서 펼쳐진 잔혹한 라라랜드
